DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2009-2010 Regular Season,02/21/10,Boston,Road,19,28,26,32,,,,,105,240,45,85,2,13,13,24,8,29,37,25,29,10,14,12,105,97.7,97.7,107.4,116.7,3IN4,P.Pierce,K.Garnett,K.Perkins,R.Allen,R.Rondo,Joe Crawford,Scott Wall,199u10,4,199,99 / 198 / 198.5,198,165,,,
2009-2010 Regular Season,02/21/10,Denver,Home,37,17,28,32,,,,,114,240,40,78,9,21,25,40,12,29,41,24,21,7,14,8,114,97.7,97.7,116.7,107.4,3IN4,C.Anthony,K.Martin,N.Hilario,A.Afflalo,C.Billups,,Zach Zarba,-4 -05,-4,199,4.5  / -5  / -4.5,-5,-190,,Boxscore,Odds
2009-2010 Regular Season,02/21/10,San Antonio,Road,24,21,22,26,8,,,,101,265,34,81,6,21,27,33,8,24,32,21,28,7,12,4,101,94.1,85.2,107.4,115.9,1,R.Jefferson,K.Bogans,T.Duncan,R.Mason Jr.,G.Hill,Bennie Adams,Marc Davis,-5  EVEN,-5,187.5,5 +03 / -5  / -4.5,-5,-200,,,
2009-2010 Regular Season,02/21/10,Detroit,Home,24,21,24,24,16,,,,109,265,37,82,6,17,29,40,16,33,49,19,26,4,13,4,109,94.1,85.2,115.9,107.4,1,T.Prince,J.Jerebko,B.Wallace,R.Hamilton,R.Stuckey,,Eric Dalen,187.5u10,5,187.5,88 / 187.5 / 187,186.5,170,,Boxscore,Odds
2009-2010 Regular Season,02/21/10,Memphis,Road,20,27,31,26,,,,,104,240,41,90,5,9,17,20,19,23,42,24,20,13,15,4,104,89.7,89.7,116.0,104.8,1,R.Gay,Z.Randolph,M.Gasol,O.Mayo,M.Conley,Monty McCutchen,Mark Ayotte,-4.5 -05,-4.5,195,4.5  / -5  / -5.5,-6,-260,,,
2009-2010 Regular Season,02/21/10,New Jersey,Home,36,22,16,20,,,,,94,240,39,87,4,21,12,19,21,23,44,21,19,7,20,5,94,89.7,89.7,104.8,116.0,1,J.Hayes,Y.Jianlian,B.Lopez,C.Lee,D.Harris,,Olandis Poole,195u10,4.5,195,93.5 / 193 / 193.5,194.5,220,,Boxscore,Odds
2009-2010 Regular Season,02/21/10,Oklahoma City,Road,30,32,24,23,,,,,109,240,41,87,5,12,22,23,14,32,46,22,19,8,16,4,109,97.6,97.6,111.7,109.7,B2B,K.Durant,J.Green,N.Krstic,T.Sefolosha,R.Westbrook,Ken Mauer,David Guthrie,-6 -05,-6,200.5,6 -05 / -6.5,-5,-220,,,
2009-2010 Regular Season,02/21/10,Minnesota,Home,23,28,29,27,,,,,107,240,43,94,6,17,15,21,15,29,44,22,23,5,14,9,107,97.6,97.6,109.7,111.7,1,R.Gomes,A.Jefferson,R.Hollins,C.Brewer,J.Flynn,,Tommy Nunez Jr.,200.5,6,200.5,01 / 201.5 / 201,201.5,180,,Boxscore,Odds
2009-2010 Regular Season,02/21/10,Houston,Road,16,23,23,32,,,,,94,240,40,92,7,25,7,14,13,35,48,24,25,8,17,6,94,99.4,99.4,94.6,102.6,B2B,S.Battier,L.Scola,C.Hayes,T.Ariza,A.Brooks,David Jones,Leon Wood,200,1,200,00.5 / 201 / 201.5,202,115,,,
2009-2010 Regular Season,02/21/10,New Orleans,Home,24,26,24,28,,,,,102,240,37,85,6,20,22,27,10,38,48,18,20,11,14,7,102,99.4,99.4,102.6,94.6,1,P.Stojakovic,D.West,E.Okafor,M.Peterson,D.Collison,,Brian Forte,-1,-1,200,1  / -1.5  / -2,-2.5,-135,,Boxscore,Odds
